cell_id,lat,lon,zone_name,hsi_class,ndvi,ndwi,albedo,building_density,building_height,air_temp,humidity,wind_speed,svf,lulc_water,lulc_vegetation,lulc_built_up,lulc_road,lulc_bare,ndvi_x_albedo,bldg_density_x_wind
cell_16.6528_74.1905,16.6528,74.1905,Shenda Park,Mild Zone,-0.010173737,0.61261296,-0.01841235,-3.5335221,0.13778973,0.9937331,0.23999672,-0.63173205,-0.5868256,0.0002285596,0.027832454,0.013270977,7.653225e-05,1.9047906e-05,-0.029891994,0.93912596
cell_16.6528_74.1930,16.6528,74.193,Shenda Park,Cool Zone,0.63493603,0.7182395,-0.037670407,-7.7824216,-0.21501002,0.9421595,0.14723963,-0.7103956,-0.8199919,0.00013260746,0.081411,0.00028797815,-0.00010689178,0.00052183704,0.3069256,-0.31932253
cell_16.6528_74.1955,16.6528,74.1955,Shenda Park,Cool Zone,0.069700725,0.46953696,0.058679696,-6.912434,0.18705301,0.76240885,0.23760612,-0.7585246,-0.7765748,0.0002285596,0.057452515,0.013233683,-7.0179085e-05,-9.849168e-05,-0.23765446,0.4699371
cell_16.6528_74.1980,16.6528,74.198,Shenda Park,Cool Zone,-0.08596285,0.29723483,0.024229787,-5.3067226,0.0035546664,0.82668203,0.52118796,-0.6146589,-0.76876014,0.0002285596,0.023584599,0.013182334,-6.8164125e-05,1.5038424e-05,-0.065566376,0.5281538
cell_16.6528_74.2005,16.6528,74.2005,Shenda Park,Cool Zone,-0.7664115,0.1395587,-0.02697111,-5.4740343,0.015220608,0.93942606,0.4249636,-0.7017109,-0.6256221,0.0002285596,0.023584599,0.013182334,-0.00053876615,1.9047906e-05,-0.60866964,0.80304843
cell_16.6528_74.2030,16.6528,74.203,Shenda Park,Cool Zone,-2.21689,-0.20271365,-0.06363127,-8.981982,-0.21328856,0.8274314,-0.051610656,-0.82894796,-0.8951656,0.0002285596,-0.4149968,-0.00043871382,-0.00053118385,-9.849168e-05,-0.75722027,-0.46773225
cell_16.6528_74.2055,16.6528,74.2055,Shenda Park,Cool Zone,-2.2663405,-0.19329394,-0.065545246,-8.989195,-0.21839459,0.85159576,-0.07660016,-0.7510142,-0.89563143,0.0002285596,-0.4149968,-0.00031131943,-0.00053118385,1.5038424e-05,-0.78418523,-0.47364223
cell_16.6528_74.2080,16.6528,74.208,Shenda Park,Cool Zone,0.6816367,0.61611384,-0.059311785,-7.7685857,-0.21252401,0.90995395,0.10184516,-0.6403645,-0.66564095,0.00013260746,0.081411,0.00045250347,-0.00010689178,4.8680886e-05,0.32035,-0.31776762
cell_16.6528_74.2105,16.6528,74.2105,Shenda Park,Cool Zone,0.62615603,-0.47305655,0.10813943,-7.926641,-0.23571047,0.96687573,0.17831777,-0.594368,-0.83609253,-5.2961812e-05,0.08879217,6.57739e-05,-0.00010689178,-0.00012125953,0.44027403,-0.37244204
cell_16.6528_74.2130,16.6528,74.213,Shenda Park,Cool Zone,0.54417837,-0.470448,0.012192755,-8.083838,-0.23713283,0.84430593,0.1409824,-0.81420416,-1.0803152,-0.00013713575,0.081301115,-8.581657e-05,-0.00010689178,0.0008299281,0.24453327,-0.38196006
cell_16.6528_74.2155,16.6528,74.2155,Shenda Park,Cool Zone,-0.10345391,0.27634326,-0.059203632,-7.921196,-0.19764496,0.9081881,0.019370696,-0.86424047,-1.0474417,0.0002285596,0.08077434,0.0005605147,-0.00053118385,0.00054696563,-0.84026325,-0.3164469
cell_16.6528_74.2180,16.6528,74.218,Shenda Park,Cool Zone,0.467453,-0.59610415,-0.0843967,-7.970884,-0.23054896,0.88579446,0.21814615,-0.5911971,-0.790595,-5.2961812e-05,0.08879217,6.57739e-05,-0.00010689178,-0.00013233454,0.4376635,-0.37582427
cell_16.6528_74.2205,16.6528,74.2205,Shenda Park,Warm Zone,-0.14984967,0.53149396,-0.085195065,1.0589733,-0.26215953,0.6300473,0.177719,-0.69814533,0.15029868,0.0002285596,0.019514717,0.0049181045,6.269394e-05,1.9047906e-05,-0.071567066,0.28388575
