cell_id,lat,lon,lat_max,lon_max,lulc_class,ndvi,ndwi,albedo,building_density,building_height,zone_name,air_temp,humidity,wind_speed,svf,lst,hsi_class
cell_16.6528_74.1905,16.6528,74.1905,16.6553,74.193,built_up,0.15812436951709102,-0.18345986189725622,0.14718329168972025,60,12.37844379227268,Shenda Park,27.934085509339372,73.71110372228574,4.846379248599996,0.6529269721797761,28.9,Cool Zone
cell_16.6528_74.1930,16.6528,74.193,16.6553,74.1955,vegetation,0.55,0.05,0.2,0,0.0,Shenda Park,26.598268736426267,75.54916847488133,5.616510807050765,0.8996677851787094,17.0,Cool Zone
cell_16.6528_74.1955,16.6528,74.1955,16.6553,74.198,road,0.24826891229975617,-0.12652376830227652,0.1344756540663726,15,10.027096405539755,Shenda Park,27.635599566991655,72.4695789557606,5.515714167691585,0.7658451376011568,25.19,Cool Zone
cell_16.6528_74.1980,16.6528,74.198,16.6553,74.2005,built_up,0.17638355447282783,-0.19305401210259426,0.11996507098932081,30,11.167489629111335,Shenda Park,27.52813623460616,77.6174504586964,5.872679334824777,0.6756561563015482,27.26,Cool Zone
cell_16.6528_74.2005,16.6528,74.2005,16.6553,74.203,road,0.1869791968411992,-0.11128117939889777,0.11586894398055059,30,7.339772467198885,Shenda Park,26.84282977188367,77.98709591273558,5.042941581653853,0.9134334254657345,26.16,Cool Zone
cell_16.6528_74.2030,16.6528,74.203,16.6553,74.2055,bare,0.18006209682962065,-0.10724414409168836,0.2337937282277445,0,0.0,Shenda Park,27.14289182598768,77.39252858808145,5.4931281609402065,0.7746769199130347,23.28,Cool Zone
cell_16.6528_74.2055,16.6528,74.2055,16.6553,74.208,vegetation,0.55,0.05,0.2,0,0.0,Shenda Park,27.09821560434454,76.70041638840958,5.400761266482327,0.9475041914789739,18.67,Cool Zone
cell_16.6528_74.2080,16.6528,74.208,16.6553,74.2105,vegetation,0.55,0.05,0.2,0,0.0,Shenda Park,26.639991049656516,76.60612872264898,4.676453032211837,0.8967986818002288,18.26,Cool Zone
cell_16.6528_74.2105,16.6528,74.2105,16.6553,74.213,water,0.010861940810141399,0.3920498191934605,0.05922339999678763,0,0.0,Shenda Park,27.03982247517625,76.00027621640118,6.344479004094708,0.753957403205036,23.37,Cool Zone
cell_16.6528_74.2130,16.6528,74.213,16.6553,74.2155,water,0.046916714813553986,0.39934683025509127,0.04771336086596565,0,0.0,Shenda Park,26.423218054509437,72.69011603127954,5.552106815087588,0.854586264406178,23.79,Cool Zone
